,country,medals,Population,GDP
0,AFG,2,32526562.0,594.3230812
2,ALG,15,39666519.0,4206.031232
3,ARG,259,43416755.0,13431.87834
4,ARM,11,3017712.0,3489.12769
5,AUS,1204,23781169.0,56310.96299
6,AUT,426,8611088.0,43774.98517
7,AZE,26,9651349.0,5496.34464
8,BAH,27,388019.0,22817.23086
9,BAR,1,284215.0,15429.34046
10,BDI,1,11178921.0,277.0683092
11,BEL,424,11285721.0,40324.02777
13,BLR,128,9513000.0,5740.456495
14,BOT,1,2262485.0,6360.13822
15,BRA,431,207847528.0,8538.589975
16,BRN,1,1377237.0,22600.2141
17,BUL,339,7177991.0,6993.47736
18,CAN,1274,35851774.0,43248.52991
19,CHI,33,17948141.0,13416.23004
20,CHN,889,1371220000.0,8027.68381
21,CIV,1,22701556.0,1398.989958
22,CMR,23,23344179.0,1217.26067
23,COL,19,48228704.0,6056.147717
24,CRC,4,4807850.0,11260.09216
25,CRO,125,4224404.0,11535.82936
27,CYP,1,1165300.0,23242.84007
28,CZE,131,10551219.0,17548.33821
29,DEN,512,5676002.0,51989.29347
30,DJI,1,887861.0,1945.124293
31,DOM,6,10528391.0,6468.473492
32,ECU,2,16144363.0,6205.064145
33,EGY,28,91508084.0,3614.746766
35,ESP,444,46418269.0,25831.58231
36,EST,46,1311998.0,17118.5042
37,ETH,45,99390750.0,619.1694065
38,FIN,890,5482013.0,42311.03623
39,FRA,1548,66808385.0,36205.5681
40,GAB,1,1725292.0,8266.445605
41,GBR,1799,65138232.0,43875.96961
42,GEO,25,3679000.0,3795.973308
43,GER,1665,81413145.0,41313.31399
44,GHA,16,27409893.0,1369.701122
45,GRE,148,10823732.0,18002.23058
46,GRN,1,106825.0,9212.020352
47,GUA,1,16342897.0,3903.478856
48,GUY,1,767085.0,4127.351018
49,HAI,8,10711067.0,818.3432976
50,HKG,4,7305700.0,42327.83996
51,HUN,1091,9844686.0,12363.54346
52,INA,38,257563815.0,3346.487039
53,IND,184,1311050527.0,1598.259034
55,IRL,30,4640703.0,61133.67243
56,IRQ,1,36423395.0,4943.760388
57,ISL,17,330823.0,50173.33992
58,ISR,7,8380400.0,35728.0935
60,ITA,1488,60802085.0,29957.80432
61,JAM,127,2725941.0,5232.024583
62,JPN,851,126958472.0,32477.21514
63,KAZ,56,17544126.0,10509.98107
64,KEN,93,46050302.0,1376.712829
65,KGZ,3,5957000.0,1103.215352
66,KOR,616,50617045.0,27221.52405
67,KSA,6,31540372.0,20481.74532
68,KUW,2,3892115.0,29300.57558
69,LAT,35,1978440.0,13648.54756
70,LIB,4,5850743.0,8047.645086
72,LTU,55,2910199.0,14147.04938
73,LUX,4,569676.0,101449.9682
74,MAR,22,34377511.0,2878.201342
75,MAS,8,30331007.0,9768.32686
76,MDA,6,3554150.0,1848.061804
77,MEX,106,127017224.0,9005.024265
78,MGL,24,2959134.0,3967.829386
79,MKD,1,2078453.0,4852.657848
80,MOZ,2,27977863.0,529.2425561
81,MRI,1,1262605.0,9252.110724
82,NAM,4,2458830.0,4673.567248
83,NED,973,16936520.0,44299.76809
84,NGR,84,182201962.0,2640.290739
85,NIG,1,19899120.0,358.958152
86,NOR,1011,5195921.0,74400.36978
87,NZL,191,4595700.0,37807.96728
88,PAK,121,188924874.0,1434.696665
89,PAN,3,3929141.0,13268.11375
90,PAR,17,6639123.0,4080.951448
91,PER,15,31376670.0,6027.125855
92,PHI,9,100699395.0,2904.202082
93,POL,538,37999494.0,12554.54755
94,POR,33,10348648.0,19222.15008
97,QAT,4,2235355.0,73653.39443
98,RSA,106,54956920.0,5723.973357
99,RUS,1031,144096812.0,9092.580536
100,SCG,14,7098247.0,5235.142207
101,SEN,1,15129273.0,899.5798795
102,SIN,4,5535002.0,52888.74467
103,SLO,44,2063768.0,20726.53989
104,SRI,2,20966000.0,3926.174396
105,SUD,1,40234882.0,2414.723601
106,SUI,665,8286976.0,80945.07922
107,SUR,2,542975.0,9485.319244
108,SVK,39,5424050.0,16088.27759
109,SWE,1477,9798871.0,50579.67365
111,TAN,2,53470420.0,878.9751055
112,TGA,1,106170.0,4098.543929
113,THA,25,67959359.0,5814.769764
114,TJK,3,8481855.0,925.9118877
115,TOG,1,7304578.0,559.6358767
117,TRI,20,1360088.0,17321.88468
118,TUN,10,11107800.0,3872.512084
119,TUR,86,78665830.0,9125.68759
120,UAE,1,9156963.0,40438.76293
121,UGA,7,39032383.0,705.2925695
122,UKR,184,45198200.0,2114.954716
123,URU,76,3431555.0,15573.90092
124,USA,5238,321418820.0,56115.71843
125,UZB,21,31299500.0,2132.070368
127,VIE,2,91703800.0,2111.138024
128,ZAM,2,16211767.0,1304.879014
129,ZIM,23,15602751.0,924.1438193
